room_type,count,mean,median,min,max
Hotel room,234,15668.15,19514.0,157.0,19514.0
Entire home/apt,11985,304.34,210.0,10.0,19514.0
Private room,8930,206.34,86.0,10.0,19514.0
Shared room,179,141.04,67.0,13.0,2053.0
