room_type,count,mean,median,min,max
Hotel room,310,385.74,297.5,70.0,1874.98
Entire home/apt,43131,300.6,212.67,3.2,1874.98
Private room,4848,225.65,137.0,7.05,1874.98
Shared room,113,88.35,66.0,24.84,642.5
